chr	coordinate	ORF	internal	flag
chrI	192595	YAR042W	0	0
chrI	220973	YAR066W	0	0
chrI	225420	YAR071W	0	0
chrII	10551	YBL107C	0	0
chrII	13946	YBL106C	0	0
chrII	17966	YBL105C	0	0
chrII	21298	YBL104C	0	0
chrII	23790	YBL103C	0	0
chrII	24010	YBL102W	0	0
chrII	28583	YBL101C	0	0
chrII	36766	YBL099W	0	0
chrII	39125	YBL098W	0	0
chrII	40781	YBL097W	0	0
chrII	44998	YBL093C	0	0
chrII	45582	YBL092W	0	0
chrII	47193	YBL091C-A	0	0
chrII	48659	YBL091C	0	0
chrII	48794	YBL090W	0	0
chrII	49510	YBL089W	0	0
chrII	59438	YBL088C	0	0
chrII	60762	YBL087C	0	0
chrII	62726	YBL086C	0	0
chrII	63661	YBL085W	0	0
chrII	69543	YBL084C	0	0
chrII	71409	YBL082C	0	0
chrII	71552	YBL081W	0	0
chrII	74778	YBL080C	0	0
chrII	75206	YBL079W	0	0
chrII	80813	YBL078C	0	0
chrII	84269	YBL076C	0	0
chrII	87803	YBL074C	0	0
chrII	89116	YBL072C	1	1
chrII	89935	YBL071W-A	0	0
chrII	90669	YBL069W	0	0
chrII	92365	YBL068W	0	0
chrII	96169	YBL067C	0	0
chrII	99053	YBL066C	1	0
chrII	101224	YBL064C	0	0
chrII	101886	YBL063W	0	0
chrII	107510	YBL061C	0	0
chrII	107870	YBL060W	0	0
chrII	110561	YBL059C-A	0	0
chrII	110674	YBL059W	1	0
chrII	111396	YBL058W	0	0
chrII	113447	YBL057C	0	0
chrII	113682	YBL056W	0	0
chrII	116815	YBL055C	1	0
chrII	117478	YBL054W	0	0
chrII	122062	YBL052C	0	0
chrII	124822	YBL051C	0	0
chrII	125058	YBL050W	0	0
chrII	126622	YBL049W	0	0
chrII	132211	YBL047C	0	0
chrII	132416	YBL046W	0	0
chrII	135640	YBL045C	0	0
chrII	136555	YBL043W	0	0
chrII	140316	YBL042C	0	0
chrII	141216	YBL041W	0	0
chrII	142900	YBL040C	0	0
chrII	143108	YBL039W-B	0	0
chrII	145782	YBL039C	0	0
chrII	146130	YBL038W	0	0
chrII	147129	YBL037W	0	0
chrII	151269	YBL036C	0	0
chrII	153688	YBL035C	0	0
chrII	158215	YBL034C	1	0
chrII	159709	YBL033C	0	0
chrII	160094	YBL032W	0	0
chrII	161665	YBL031W	0	0
chrII	164141	YBL030C	0	0
chrII	164889	YBL029C-A	0	0
chrII	167860	YBL028C	0	0
chrII	168371	YBL027W	0	0
chrII	170581	YBL026W	0	0
chrII	171413	YBL025W	0	0
chrII	172528	YBL024W	0	0
chrII	177611	YBL023C	0	0
chrII	181394	YBL022C	0	0
chrII	182141	YBL021C	0	0
chrII	182319	YBL020W	0	0
chrII	184301	YBL019W	0	0
chrII	186515	YBL018C	0	0
chrII	191764	YBL017C	0	0
chrII	192428	YBL016W	0	0
chrII	194045	YBL015W	0	0
chrII	201777	YBL014C	0	0
chrII	201990	YBL013W	0	0
chrII	203437	YBL011W	0	0
chrII	206943	YBL010C	1	1
chrII	207152	YBL009W	0	0
chrII	217133	YBL006C	0	0
chrII	217408	YBL005W	0	0
chrII	227529	YBL004W	0	0
chrII	235827	YBL003C	0	0
chrII	236469	YBL002W	0	0
chrII	237528	YBL001C	0	0
chrII	241431	YBR001C	0	0
chrII	242589	YBR002C	0	0
chrII	242780	YBR003W	0	0
chrII	245683	YBR004C	0	0
chrII	245871	YBR005W	0	0
chrII	246884	YBR006W	0	0
chrII	251106	YBR007C	0	0
chrII	254427	YBR008C	0	0
chrII	255723	YBR009C	0	0
chrII	256303	YBR010W	0	0
chrII	258014	YBR011C	0	0
chrII	266023	YBR013C	0	0
chrII	267396	YBR014C	0	0
chrII	270198	YBR016W	0	0
chrII	273755	YBR017C	0	0
chrII	281325	YBR021W	0	0
chrII	283676	YBR022W	0	0
chrII	288074	YBR023C	0	0
chrII	289353	YBR024W	0	0
chrII	291886	YBR025C	0	0
chrII	294040	YBR026C	0	0
chrII	296102	YBR028C	0	0
chrII	297822	YBR029C	0	0
chrII	298021	YBR030W	0	0
chrII	300150	YBR031W	0	0
chrII	305990	YBR034C	0	0
chrII	306982	YBR035C	0	0
chrII	310361	YBR036C	0	0
chrII	311493	YBR037C	0	0
chrII	311857	YBR038W	0	0
chrII	315488	YBR039W	0	0
chrII	316786	YBR040W	0	0
chrII	318213	YBR041W	0	0
chrII	321654	YBR042C	0	0
chrII	324094	YBR043C	0	0
chrII	326142	YBR044C	0	0
chrII	331542	YBR046C	0	0
chrII	331780	YBR047W	0	0
chrII	332813	YBR048W	0	0
chrII	336941	YBR049C	0	0
chrII	338376	YBR050C	0	0
chrII	339416	YBR052C	0	0
chrII	340763	YBR053C	0	0
chrII	342787	YBR054W	0	0
chrII	347325	YBR055C	0	0
chrII	347754	YBR056W	0	0
chrII	353383	YBR057C	0	0
chrII	356041	YBR058C	0	0
chrII	356625	YBR058C-A	0	0
chrII	360298	YBR059C	0	0
chrII	362632	YBR060C	0	0
chrII	365726	YBR061C	0	0
chrII	366631	YBR062C	0	0
chrII	369750	YBR065C	0	0
chrII	370751	YBR066C	0	0
chrII	372786	YBR067C	0	0
chrII	375729	YBR068C	0	0
chrII	378538	YBR069C	0	0
chrII	379987	YBR070C	0	0
chrII	380339	YBR071W	0	0
chrII	381956	YBR072W	0	0
chrII	383154	YBR073W	1	0
chrII	386281	YBR074W	0	0
chrII	392352	YBR077C	0	0
chrII	392947	YBR078W	0	0
chrII	398302	YBR079C	0	0
chrII	400916	YBR080C	0	0
chrII	405397	YBR081C	0	0
chrII	407234	YBR082C	0	0
chrII	409122	YBR083W	0	0
chrII	411040	YBR084W	0	0
chrII	415311	YBR084C-A	0	0
chrII	415919	YBR085W	0	0
chrII	419193	YBR085C-A	0	0
chrII	423344	YBR086C	0	0
chrII	423754	YBR087W	0	0
chrII	425806	YBR088C	0	0
chrII	427525	YBR091C	0	0
chrII	429115	YBR092C	0	0
chrII	430986	YBR093C	0	0
chrII	431970	YBR094W	0	0
chrII	435738	YBR095C	0	0
chrII	435939	YBR096W	0	0
chrII	436920	YBR097W	0	0
chrII	441517	YBR098W	1	1
chrII	444765	YBR101C	0	0
chrII	447354	YBR102C	0	0
chrII	447549	YBR103W	0	0
chrII	449579	YBR104W	0	0
chrII	451995	YBR105C	0	0
chrII	452625	YBR106W	0	0
chrII	454551	YBR107C	0	0
chrII	454807	YBR108W	0	0
chrII	458401	YBR109C	0	0
chrII	458657	YBR110W	0	0
chrII	461856	YBR111C	1	0
chrII	462138	YBR111W-A	0	0
chrII	465964	YBR112C	0	0
chrII	467130	YBR114W	0	0
chrII	474013	YBR115C	0	0
chrII	476674	YBR117C	0	0
chrII	477649	YBR118W	0	0
chrII	479298	YBR119W	0	0
chrII	481006	YBR120C	0	0
chrII	483444	YBR121C	0	0
chrII	484536	YBR122C	0	0
chrII	486759	YBR123C	0	0
chrII	488559	YBR125C	0	0
chrII	490499	YBR126C	0	0
chrII	492886	YBR127C	0	0
chrII	494147	YBR128C	0	0
chrII	495374	YBR129C	0	0
chrII	496929	YBR130C	0	0
chrII	497119	YBR131W	0	0
chrII	501553	YBR132C	0	0
chrII	504400	YBR133C	0	0
chrII	504754	YBR135W	0	0
chrII	505617	YBR136W	0	0
chrII	512952	YBR137W	0	0
chrII	515405	YBR138C	0	0
chrII	515659	YBR139W	0	0
chrII	528058	YBR141C	0	0
chrII	528270	YBR142W	0	0
chrII	532221	YBR143C	0	0
chrII	533721	YBR145W	0	0
chrII	535197	YBR146W	0	0
chrII	537689	YBR148W	0	0
chrII	539918	YBR149W	0	0
chrII	544524	YBR150C	0	0
chrII	544915	YBR151W	0	0
chrII	546322	YBR152W	0	0
chrII	547410	YBR153W	0	0
chrII	549100	YBR154C	0	0
chrII	549726	YBR155W	0	0
chrII	553237	YBR156C	0	0
chrII	554382	YBR157C	0	0
chrII	556286	YBR158W	0	0
chrII	558660	YBR159W	0	0
chrII	559947	YBR160W	0	0
chrII	561407	YBR161W	0	0
chrII	564808	YBR162C	0	0
chrII	565196	YBR162W-A	0	0
chrII	565639	YBR163W	0	0
chrII	568545	YBR164C	0	0
chrII	568760	YBR165W	0	0
chrII	571252	YBR166C	0	0
chrII	571926	YBR167C	0	0
chrII	572244	YBR168W	0	0
chrII	578159	YBR170C	0	0
chrII	578338	YBR171W	0	0
chrII	581483	YBR172C	0	0
chrII	582200	YBR173C	0	0
chrII	582395	YBR175W	0	0
chrII	583586	YBR176W	0	0
chrII	586193	YBR177C	0	0
chrII	589179	YBR179C	0	0
chrII	592827	YBR181C	0	0
chrII	595027	YBR182C	0	0
chrII	595906	YBR183W	0	0
chrII	597363	YBR184W	0	0
chrII	599978	YBR185C	0	0
chrII	602550	YBR187W	0	0
chrII	604182	YBR188C	0	0
chrII	604470	YBR189W	0	0
chrII	606220	YBR191W	0	0
chrII	607502	YBR192W	0	0
chrII	609813	YBR193C	0	0
chrII	609969	YBR194W	0	0
chrII	611875	YBR195C	1	1
chrII	613935	YBR196C	0	0
chrII	615879	YBR197C	0	0
chrII	618597	YBR198C	0	0
chrII	618816	YBR199W	0	0
chrII	620817	YBR200W	0	0
chrII	623440	YBR201W	0	0
chrII	624842	YBR201C-A	0	0
chrII	625742	YBR202W	0	0
chrII	628865	YBR203W	0	0
chrII	633443	YBR204C	0	0
chrII	633575	YBR205W	0	0
chrII	635094	YBR207W	0	0
chrII	645512	YBR210W	0	0
chrII	647245	YBR211C	0	0
chrII	647480	YBR212W	0	0
chrII	650216	YBR213W	0	0
chrII	653315	YBR215W	0	0
chrII	657633	YBR216C	0	0
chrII	657785	YBR217W	0	0
chrII	662311	YBR218C	0	0
chrII	664744	YBR220C	0	0
chrII	666456	YBR221C	0	0
chrII	668378	YBR222C	0	0
chrII	670323	YBR223C	0	0
chrII	670492	YBR225W	0	0
chrII	675192	YBR227C	0	0
chrII	675313	YBR228W	0	0
chrII	679228	YBR229C	0	0
chrII	680088	YBR230C	0	0
chrII	680298	YBR230W-A	0	0
chrII	683147	YBR231C	0	0
chrII	683300	YBR233W	0	0
chrII	684958	YBR233W-A	0	0
chrII	686638	YBR234C	0	0
chrII	686820	YBR235W	0	0
chrII	691731	YBR236C	0	0
chrII	691925	YBR237W	0	0
chrII	697302	YBR238C	0	0
chrII	700093	YBR239C	0	0
chrII	704282	YBR241C	0	0
chrII	704502	YBR242W	0	0
chrII	706825	YBR243C	0	0
chrII	707492	YBR244W	0	0
chrII	711385	YBR245C	1	0
chrII	711548	YBR246W	0	0
chrII	714476	YBR247C	0	0
chrII	716553	YBR248C	0	0
chrII	718084	YBR249C	0	0
chrII	721322	YBR251W	0	0
chrII	722593	YBR252W	0	0
chrII	723209	YBR253W	0	0
chrII	724271	YBR254C	0	0
chrII	724433	YBR255W	0	0
chrII	727098	YBR255C-A	0	0
chrII	728137	YBR256C	0	0
chrII	728854	YBR257W	0	0
chrII	730195	YBR258C	0	0
chrII	730338	YBR259W	0	0
chrII	734676	YBR260C	0	0
chrII	735555	YBR261C	0	0
chrII	736075	YBR262C	0	0
chrII	736224	YBR263W	0	0
chrII	738407	YBR264C	0	0
chrII	738546	YBR265W	0	0
chrII	739824	YBR267W	0	0
chrII	741285	YBR268W	0	0
chrII	742597	YBR269C	0	0
chrII	744700	YBR270C	0	0
chrII	744835	YBR271W	0	0
chrII	747830	YBR272C	0	0
chrII	749402	YBR273C	0	0
chrII	749558	YBR274W	0	0
chrII	757220	YBR275C	0	0
chrII	760138	YBR276C	0	0
chrII	760276	YBR278W	0	0
chrII	761229	YBR279W	0	0
chrII	764700	YBR280C	0	0
chrII	767655	YBR281C	0	0
chrII	768201	YBR282W	0	0
chrII	770568	YBR283C	0	0
chrII	771227	YBR284W	0	0
chrII	773739	YBR285W	0	0
chrII	774687	YBR286W	0	0
chrII	776538	YBR287W	0	0
chrII	779521	YBR288C	0	0
chrII	779638	YBR289W	0	0
chrII	782584	YBR290W	0	0
chrII	784608	YBR291C	0	0
chrII	787106	YBR293W	1	1
chrII	792832	YBR295W	0	0
chrII	798588	YBR296C	0	0
chrII	800193	YBR296C-A	1	0
chrII	800484	YBR297W	0	0
chrII	805141	YBR299W	0	0
chrII	805450	YBR298C-A	0	0
chrII	811486	YBR302C	0	0
chrIII	12887	YCL067C	1	0
chrIII	16890	YCL064C	0	0
chrIII	17274	YCL063W	0	0
chrIII	22154	YCL061C	0	0
chrIII	23404	YCL059C	0	0
chrIII	23562	YCL058W-A	0	0
chrIII	24352	YCL057C-A	0	0
chrIII	24782	YCL057W	1	0
chrIII	27390	YCL056C	0	0
chrIII	27923	YCL055W	0	0
chrIII	31432	YCL054W	0	0
chrIII	35426	YCL052C	0	0
chrIII	35584	YCL051W	0	0
chrIII	38863	YCL050C	0	0
chrIII	40779	YCL049C	0	0
chrIII	44457	YCL047C	0	0
chrIII	46945	YCL045C	0	0
chrIII	48405	YCL044C	0	0
chrIII	50258	YCL043C	0	0
chrIII	50405	YCL042W	0	0
chrIII	50809	YCL040W	0	0
chrIII	52625	YCL039W	0	0
chrIII	56583	YCL038C	0	0
chrIII	58745	YCL037C	0	0
chrIII	58972	YCL036W	0	0
chrIII	61237	YCL035C	0	0
chrIII	61634	YCL034W	0	0
chrIII	63247	YCL033C	1	0
chrIII	63364	YCL032W	0	0
chrIII	65619	YCL031C	0	0
chrIII	68393	YCL030C	0	0
chrIII	69981	YCL029C	0	0
chrIII	70118	YCL028W	0	0
chrIII	71775	YCL027W	0	0
chrIII	74085	YCL026C-B	0	0
chrIII	75387	YCL026C-A	0	0
chrIII	77950	YCL025C	0	0
chrIII	79090	YCL024W	0	0
chrIII	94385	YCL017C	0	0
chrIII	95795	YCL016C	0	0
chrIII	96178	YCL014W	0	0
chrIII	101822	YCL012C	0	0
chrIII	103402	YCL011C	0	0
chrIII	104370	YCL010C	0	0
chrIII	105594	YCL009C	0	0
chrIII	106857	YCL008C	0	0
chrIII	106998	YCL005W-A	0	0
chrIII	107975	YCL005W	0	0
chrIII	109025	YCL004W	0	0
chrIII	111702	YCL002C	0	0
chrIII	111897	YCL001W	0	0
chrIII	118393	YCR002C	0	0
chrIII	118598	YCR003W	0	0
chrIII	120508	YCR004C	0	0
chrIII	122388	YCR005C	0	0
chrIII	128007	YCR008W	0	0
chrIII	131623	YCR009C	0	0
chrIII	137024	YCR011C	0	0
chrIII	137706	YCR012W	0	0
chrIII	142194	YCR015C	0	0
chrIII	143608	YCR016W	0	0
chrIII	147663	YCR017C	0	0
chrIII	148601	YCR018C	1	0
chrIII	152711	YCR019W	0	0
chrIII	155114	YCR020C-A	0	0
chrIII	155310	YCR020W-B	0	0
chrIII	157207	YCR021C	0	0
chrIII	160463	YCR023C	0	0
chrIII	163258	YCR024C-A	0	0
chrIII	166413	YCR026C	0	0
chrIII	168174	YCR027C	0	0
chrIII	172542	YCR028C	0	0
chrIII	173480	YCR028C-A	0	0
chrIII	176497	YCR030C	0	0
chrIII	178261	YCR031C	0	0
chrIII	179391	YCR032W	0	0
chrIII	186288	YCR033W	0	0
chrIII	190566	YCR034W	0	0
chrIII	193028	YCR035C	0	0
chrIII	193280	YCR036W	0	0
chrIII	197216	YCR037C	0	0
chrIII	200050	YCR039C	1	0
chrIII	205420	YCR042C	0	0
chrIII	206668	YCR043C	0	0
chrIII	207968	YCR044C	0	0
chrIII	210429	YCR046C	0	0
chrIII	211634	YCR047C	0	0
chrIII	211885	YCR048W	0	0
chrIII	214047	YCR051W	0	0
chrIII	214959	YCR052W	0	0
chrIII	216656	YCR053W	0	0
chrIII	220145	YCR054C	0	0
chrIII	223290	YCR057C	0	0
chrIII	224247	YCR059C	0	0
chrIII	224386	YCR060W	0	0
chrIII	225505	YCR061W	0	0
chrIII	228280	YCR063W	0	0
chrIII	229256	YCR065W	0	0
chrIII	231450	YCR066W	0	0
chrIII	236429	YCR067C	0	0
chrIII	237083	YCR068W	0	0
chrIII	238908	YCR069W	0	0
chrIII	240588	YCR071C	0	0
chrIII	242378	YCR072C	0	0
chrIII	246648	YCR073C	0	0
chrIII	246926	YCR073W-A	0	0
chrIII	248836	YCR075C	0	0
chrIII	248981	YCR075W-A	1	1
chrIII	250046	YCR076C	0	0
chrIII	252661	YCR077C	0	0
chrIII	252839	YCR079W	0	0
chrIII	258853	YCR082W	0	0
chrIII	259543	YCR083W	0	0
chrIII	262677	YCR084C	0	0
chrIII	263348	YCR086W	0	0
chrIII	264503	YCR087C-A	0	0
chrIII	265030	YCR088W	0	0
chrIII	267138	YCR089W	0	0
chrIII	272891	YCR090C	0	0
chrIII	279856	YCR092C	0	0
chrIII	280087	YCR093W	0	0
chrIII	286699	YCR094W	0	0
chrIII	289296	YCR095C	0	0
chrIII	289501	YCR095W-A	0	0
chrIII	293680	YCR096C	0	0
chrIII	293823	YCR097W	0	0
chrIII	298579	YCR098C	1	1
chrIII	303034	YCR101C	0	0
chrIII	305537	YCR102C	0	0
chrIII	307514	YCR104W	0	0
chrIII	310928	YCR106W	0	0
chrIV	1792	YDL248W	0	0
chrIV	15940	YDL244W	0	0
chrIV	20553	YDL241W	0	0
chrIV	22651	YDL240W	0	0
chrIV	30482	YDL238C	0	0
chrIV	30625	YDL237W	0	0
chrIV	32259	YDL236W	0	0
chrIV	34041	YDL235C	0	0
chrIV	36614	YDL234C	0	0
chrIV	36774	YDL233W	0	0
chrIV	38468	YDL232W	0	0
chrIV	42355	YDL231C	0	0
chrIV	42674	YDL230W	0	0
chrIV	44035	YDL229W	0	0
chrIV	48070	YDL227C	0	0
chrIV	52196	YDL226C	0	0
chrIV	52395	YDL225W	0	0
chrIV	65042	YDL220C	0	0
chrIV	65216	YDL219W	0	0
chrIV	68766	YDL217C	0	0
chrIV	70314	YDL216C	1	1
chrIV	74106	YDL215C	0	0
chrIV	77975	YDL213C	0	0
chrIV	78379	YDL212W	0	0
chrIV	80445	YDL211C	0	0
chrIV	87248	YDL209C	0	0
chrIV	87467	YDL208W	0	0
chrIV	88210	YDL207W	0	0
chrIV	90014	YDL206W	0	0
chrIV	93942	YDL205C	0	0
chrIV	98152	YDL203C	0	0
chrIV	98421	YDL202W	0	0
chrIV	99493	YDL201W	0	0
chrIV	101103	YDL200C	0	0
chrIV	104656	YDL198C	0	0
chrIV	106508	YDL197C	0	0
chrIV	107089	YDL195W	0	0
chrIV	111376	YDL194W	0	0
chrIV	114605	YDL193W	0	0
chrIV	116284	YDL192W	0	0
chrIV	117605	YDL191W	0	0
chrIV	121787	YDL190C	0	0
chrIV	122026	YDL189W	0	0
chrIV	125180	YDL188C	0	0
chrIV	126689	YDL185W	0	0
chrIV	130506	YDL184C	0	0
chrIV	131907	YDL183C	0	0
chrIV	133411	YDL182W	0	0
chrIV	135016	YDL181W	0	0
chrIV	135770	YDL180W	0	0
chrIV	138196	YDL179W	0	0
chrIV	139505	YDL178W	0	0
chrIV	141773	YDL177C	0	0
chrIV	141971	YDL176W	0	0
chrIV	145542	YDL175C	0	0
chrIV	147691	YDL174C	0	0
chrIV	148142	YDL173W	0	0
chrIV	155896	YDL171C	0	0
chrIV	156290	YDL170W	0	0
chrIV	159548	YDL168W	0	0
chrIV	163197	YDL167C	0	0
chrIV	164096	YDL166C	0	0
chrIV	164228	YDL165W	0	0
chrIV	167305	YDL164C	0	0
chrIV	167698	YDL161W	0	0
chrIV	169636	YDL160C-A	0	0
chrIV	172214	YDL160C	0	0
chrIV	172435	YDL159W	0	0
chrIV	174603	YDL157C	0	0
chrIV	174824	YDL156W	0	0
chrIV	176633	YDL155W	0	0
chrIV	183044	YDL153C	0	0
chrIV	183232	YDL150W	0	0
chrIV	184880	YDL149W	0	0
chrIV	190616	YDL148C	0	0
chrIV	190873	YDL147W	0	0
chrIV	192567	YDL146W	0	0
chrIV	198431	YDL145C	0	0
chrIV	199742	YDL144C	0	0
chrIV	199961	YDL143W	0	0
chrIV	202634	YDL142C	0	0
chrIV	202800	YDL141W	0	0
chrIV	211104	YDL140C	0	0
chrIV	212077	YDL139C	0	0
chrIV	213175	YDL138W	0	0
chrIV	216037	YDL137W	0	0
chrIV	217535	YDL136W	0	0
chrIV	219333	YDL135C	0	0
chrIV	221283	YDL134C	0	0
chrIV	221819	YDL133C-A	0	0
chrIV	222292	YDL133W	0	0
chrIV	223990	YDL132W	0	0
chrIV	227357	YDL131W	0	0
chrIV	229095	YDL130W-A	0	0
chrIV	229870	YDL130W	0	0
chrIV	230872	YDL129W	0	0
chrIV	232591	YDL128W	0	0
chrIV	234856	YDL127W	0	0
chrIV	238714	YDL126C	0	0
chrIV	239598	YDL125C	1	0
chrIV	240214	YDL124W	0	0
chrIV	241405	YDL123W	0	0
chrIV	245593	YDL121C	0	0
chrIV	245843	YDL120W	0	0
chrIV	248260	YDL117W	0	0
chrIV	251499	YDL116W	0	0
chrIV	255168	YDL115C	0	0
chrIV	258641	YDL113C	0	0
chrIV	258835	YDL112W	0	0
chrIV	264171	YDL111C	0	0
chrIV	265021	YDL110C	0	0
chrIV	267675	YDL108W	0	0
chrIV	268900	YDL107W	0	0
chrIV	271965	YDL106C	0	0
chrIV	272348	YDL105W	0	0
chrIV	274897	YDL104C	0	0
chrIV	276654	YDL103C	0	0
chrIV	276780	YDL102W	0	0
chrIV	281909	YDL101C	0	0
chrIV	283212	YDL100C	0	0
chrIV	283399	YDL099W	0	0
chrIV	285166	YDL098C	0	0
chrIV	286727	YDL097C	0	0
chrIV	286979	YDL095W	0	0
chrIV	289884	YDL093W	0	0
chrIV	292758	YDL092W	0	0
chrIV	294855	YDL091C	0	0
chrIV	296315	YDL090C	1	0
chrIV	296494	YDL089W	0	0
chrIV	300131	YDL088C	0	0
chrIV	301015	YDL087C	0	0
chrIV	301408	YDL086W	0	0
chrIV	302729	YDL085C-A	0	0
chrIV	305121	YDL084W	0	0
chrIV	307819	YDL083C	0	0
chrIV	308352	YDL082W	0	0
chrIV	310188	YDL081C	0	0
chrIV	312680	YDL080C	0	0
chrIV	314982	YDL079C	0	0
chrIV	316460	YDL078C	0	0
chrIV	320290	YDL077C	0	0
chrIV	321675	YDL076C	0	0
chrIV	322195	YDL075W	0	0
chrIV	326221	YDL074C	0	0
chrIV	326433	YDL073W	0	0
chrIV	330518	YDL072C	0	0
chrIV	330992	YDL070W	0	0
chrIV	333642	YDL069C	1	0
chrIV	334442	YDL067C	0	0
chrIV	334818	YDL066W	0	0
chrIV	337318	YDL065C	0	0
chrIV	337447	YDL064W	0	0
chrIV	340202	YDL063C	0	0
chrIV	341215	YDL061C	1	1
chrIV	341599	YDL060W	0	0
chrIV	345066	YDL059C	0	0
chrIV	345585	YDL058W	0	0
chrIV	351387	YDL057W	0	0
chrIV	352762	YDL056W	0	0
chrIV	356908	YDL055C	0	0
chrIV	361371	YDL054C	0	0
chrIV	362454	YDL053C	0	0
chrIV	363619	YDL052C	0	0
chrIV	363910	YDL051W	0	0
chrIV	366051	YDL049C	0	0
chrIV	369566	YDL047W	0	0
chrIV	371173	YDL046W	0	0
chrIV	372204	YDL045W-A	0	0
chrIV	373744	YDL045C	0	0
chrIV	375294	YDL044C	0	0
chrIV	376533	YDL043C	0	0
chrIV	378505	YDL042C	0	0
chrIV	381465	YDL040C	0	0
chrIV	385765	YDL037C	0	0
chrIV	388881	YDL036C	1	0
chrIV	392341	YDL035C	0	0
chrIV	393959	YDL033C	0	0
chrIV	394164	YDL031W	0	0
chrIV	397458	YDL030W	0	0
chrIV	399312	YDL029W	0	0
chrIV	403415	YDL028C	0	0
chrIV	405003	YDL027C	0	0
chrIV	407416	YDL025C	0	0
chrIV	411760	YDL022W	0	0
chrIV	413918	YDL021W	0	0
chrIV	416952	YDL020C	0	0
chrIV	421724	YDL019C	0	0
chrIV	423570	YDL018C	0	0
chrIV	424186	YDL017W	0	0
chrIV	426980	YDL015C	0	0
chrIV	427221	YDL014W	0	0
chrIV	428930	YDL013W	0	0
chrIV	431534	YDL012C	0	0
chrIV	432297	YDL010W	0	0
chrIV	433497	YDL008W	0	0
chrIV	438009	YDL007W	0	0
chrIV	439561	YDL006W	0	0
chrIV	442349	YDL005C	0	0
chrIV	442986	YDL004W	0	0
chrIV	444585	YDL003W	0	0
chrIV	447648	YDL002C	0	0
chrIV	447926	YDL001W	0	0
chrIV	452544	YDR001C	0	0
chrIV	452990	YDR002W	0	0
chrIV	454004	YDR003W	0	0
chrIV	455240	YDR004W	1	0
chrIV	458220	YDR005C	0	0
chrIV	461398	YDR006C	0	0
chrIV	461808	YDR007W	0	0
chrIV	465598	YDR011W	0	0
chrIV	471821	YDR012W	0	0
chrIV	473141	YDR013W	0	0
chrIV	474054	YDR014W	1	1
chrIV	477791	YDR014W-A	0	0
chrIV	478791	YDR016C	0	0
chrIV	482281	YDR017C	0	0
chrIV	483928	YDR018C	0	0
chrIV	485369	YDR019C	0	0
chrIV	486573	YDR020C	0	0
chrIV	486697	YDR021W	0	0
chrIV	488690	YDR022C	0	0
chrIV	489474	YDR023W	0	0
chrIV	491501	YDR025W	0	0
chrIV	494411	YDR026C	0	0
chrIV	497435	YDR027C	0	0
chrIV	501359	YDR028C	0	0
chrIV	503281	YDR030C	0	0
chrIV	503491	YDR031W	0	0
chrIV	504764	YDR032C	0	0
chrIV	507901	YDR033W	0	0
chrIV	512248	YDR034C	0	0
chrIV	520906	YDR034C-A	0	0
chrIV	521274	YDR034W-B	0	0
chrIV	521787	YDR035W	0	0
chrIV	524766	YDR036C	0	0
chrIV	525410	YDR037W	0	0
chrIV	530804	YDR038C	0	0
chrIV	534678	YDR039C	0	0
