ORF,Chr,ORF Start,ORF End,Strand,TSS,TTS,+1 nucleosome,-1 nucleosome,NDR Center,NDR Width
YBL074C,chrII,87789,86722,-1,87803,86722,87778,88024,87901,99
YBL072C,chrII,89440,88523,-1,89116,88403,89435,89992,89714,410
YBL071W-A,chrII,89978,90226,1,89935,90472,89992,89435,89714,410
YBL069W,chrII,90741,92030,1,90669,92111,90698,90438,90568,113
YBL068W,chrII,92414,93394,1,92365,93483,92423,92135,92279,141
YBL067C,chrII,95882,93639,-1,96169,93523,96098,96364,96231,119
YBL064C,chrII,101156,100371,-1,101224,100299,101166,101509,101338,196
YBL063W,chrII,101886,105221,1,101886,105317,101921,101659,101790,115
YBL061C,chrII,107406,105316,-1,107510,105213,107465,107716,107591,104
YBL060W,chrII,107932,109995,1,107870,110039,107929,107716,107823,66
YBL059C-A,chrII,110539,110125,-1,110561,109965,110517,110727,110622,63
YBL058W,chrII,111437,112708,1,111396,112825,111444,111170,111307,127
YBL057C,chrII,113427,112801,-1,113447,112734,113415,113711,113563,149
YBL056W,chrII,113762,115168,1,113682,115535,113711,113415,113563,149
YBL055C,chrII,116829,115573,-1,116815,115479,116843,117161,117002,171
YBL054W,chrII,117589,119166,1,117478,119311,117448,117161,117305,140
YBL052C,chrII,121874,119379,-1,122062,119310,122090,122372,122231,135
YBL051C,chrII,124759,122753,-1,124822,122603,124781,125091,124936,163
YBL050W,chrII,125125,126119,1,125058,126186,125091,124781,124936,163
YBL049W,chrII,126828,127244,1,126622,127244,126318,126044,126181,127
YBL047C,chrII,132040,127895,-1,132211,127751,132148,132442,132295,147
YBL046W,chrII,132424,133749,1,132416,133931,132442,132148,132295,147
YBL045C,chrII,135516,134143,-1,135640,133840,135660,136366,136013,559
YBL043W,chrII,136688,137461,1,136555,137644,136367,135664,136016,556
YBL042C,chrII,140260,138341,-1,140316,138150,140332,140965,140649,486
YBL041W,chrII,141247,141972,1,141216,142028,141272,140965,141119,160
YBL040C,chrII,142868,142112,-1,142900,142012,142851,143098,142975,100
YBL039C,chrII,145728,143989,-1,145782,143807,145775,146154,145965,232
YBL038W,chrII,146187,146885,1,146130,146947,146154,145775,145965,232
YBL037W,chrII,147209,150286,1,147129,150403,147175,146900,147038,128
YBL036C,chrII,151220,150447,-1,151269,150301,151184,151479,151332,148
YBL035C,chrII,153610,151493,-1,153688,151382,153669,153951,153810,135
YBL034C,chrII,158389,153848,-1,158215,153698,158417,158716,158567,152
YBL033C,chrII,159693,158656,-1,159709,158489,159664,160154,159909,343
YBL032W,chrII,160184,161329,1,160094,161532,160154,159664,159909,343
YBL031W,chrII,161699,162715,1,161665,162874,161714,161433,161574,134
YBL030C,chrII,163997,163041,-1,164141,162741,164068,164488,164278,273
YBL028C,chrII,167838,167518,-1,167860,167433,167845,168426,168136,434
YBL027W,chrII,168423,169376,1,168371,169460,168458,167845,168152,466
YBL026W,chrII,170623,171038,1,170581,171164,170625,170355,170490,123
YBL025W,chrII,171481,171918,1,171413,171918,171472,171222,171347,103
YBL024W,chrII,172534,174588,1,172528,174708,172531,172245,172388,139
YBL023C,chrII,177526,174920,-1,177611,174765,177553,177846,177700,146
YBL022C,chrII,181275,177874,-1,181394,177798,181359,181625,181492,119
YBL021C,chrII,182094,181660,-1,182141,181490,182071,182355,182213,137
YBL020W,chrII,182401,184125,1,182319,184214,182355,182071,182213,137
YBL019W,chrII,184353,185915,1,184301,186030,184362,184154,184258,61
YBL018C,chrII,186474,185998,-1,186515,185962,186465,186780,186623,168
YBL017C,chrII,191583,186844,-1,191764,186777,191715,192016,191866,154
YBL016W,chrII,192451,193512,1,192428,193647,192408,192147,192278,114
YBL015W,chrII,194122,195702,1,194045,195736,193946,193524,193735,275
YBL014C,chrII,201748,199064,-1,201777,198947,201726,202049,201888,176
YBL013W,chrII,202056,203261,1,201990,203261,202049,201726,201888,176
YBL011W,chrII,203538,205817,1,203437,206019,203507,203071,203289,289
YBL009W,chrII,207194,209224,1,207152,209338,207185,206916,207051,122
YBL008W,chrII,209653,212175,1,209653,212279,209634,209400,209517,87
YBL007C,chrII,216366,212632,-1,216366,212548,216401,216643,216522,95
YBL006C,chrII,217129,216587,-1,217133,216405,217110,217393,217252,136
YBL005W,chrII,217470,220400,1,217408,220685,217393,217110,217252,136
YBL004W,chrII,227636,235117,1,227529,235202,227578,227256,227417,175
YBL003C,chrII,235792,235394,-1,235827,235221,235922,236536,236229,467
YBL002W,chrII,236492,236887,1,236469,237079,236536,235922,236229,467
YBL001C,chrII,237467,237153,-1,237528,237078,237460,237744,237602,137
YBR001C,chrII,241283,238941,-1,241431,238872,241406,241663,241535,110
YBR002C,chrII,242568,241708,-1,242589,241599,242541,242827,242684,139
YBR003W,chrII,242809,244230,1,242780,244360,242827,242541,242684,139
YBR004C,chrII,245667,244366,-1,245683,244273,245590,245903,245747,166
YBR005W,chrII,245906,246547,1,245871,246731,245903,245590,245747,166
YBR006W,chrII,247010,248503,1,246884,248645,246932,246652,246792,133
YBR009C,chrII,255684,255373,-1,255723,255209,255616,255825,255721,62
YBR010W,chrII,256331,256741,1,256303,256902,256196,255825,256011,224
YBR011C,chrII,257975,257112,-1,258014,257000,257969,258277,258123,161
YBR014C,chrII,267336,266725,-1,267396,266529,267300,267649,267475,202
YBR015C,chrII,269503,267710,-1,269503,267571,269559,269814,269687,108
YBR016W,chrII,270247,270633,1,270198,270836,270260,269942,270101,171
YBR017C,chrII,273703,270947,-1,273755,270773,273707,274000,273854,146
YBR018C,chrII,275527,274427,-1,275527,274283,275586,275876,275731,143
YBR019C,chrII,278352,276253,-1,278352,276151,278471,278790,278631,172
YBR020W,chrII,279021,280607,1,279021,280655,278790,278471,278631,172
YBR021W,chrII,281443,283344,1,281325,283434,281344,280871,281108,326
YBR022W,chrII,283738,284271,1,283676,284426,283728,283479,283604,102
YBR023C,chrII,287925,284428,-1,288074,284300,288048,288305,288177,110
YBR024W,chrII,289445,290350,1,289353,290580,289390,289135,289263,108
YBR025C,chrII,291865,290681,-1,291886,290477,291891,292257,292074,219
YBR026C,chrII,294019,292877,-1,294040,292761,294024,294288,294156,117
YBR029C,chrII,297742,296369,-1,297822,296241,297772,298039,297906,120
YBR030W,chrII,298292,299950,1,298021,300119,298039,297772,297906,120
YBR031W,chrII,300166,301254,1,300150,301347,300173,299859,300016,167
YBR034C,chrII,305976,304930,-1,305990,304740,305967,306297,306132,183
YBR035C,chrII,306955,306269,-1,306982,306170,306942,307176,307059,87
YBR036C,chrII,310313,309081,-1,310361,308887,310324,310620,310472,149
YBR037C,chrII,311452,310565,-1,311493,310495,311432,311818,311625,239
YBR038W,chrII,311898,314789,1,311857,314971,311818,311432,311625,239
YBR039W,chrII,315575,316510,1,315488,316688,315547,315261,315404,139
YBR040W,chrII,316968,317864,1,316786,317864,316852,316621,316737,84
YBR041W,chrII,318266,320275,1,318213,320417,318260,317986,318123,127
YBR042C,chrII,321609,320416,-1,321654,320346,321611,321850,321731,92
YBR043C,chrII,323945,321876,-1,324094,321771,324051,324346,324199,148
YBR044C,chrII,326059,324341,-1,326142,324268,326095,326378,326237,136
YBR045C,chrII,330092,328173,-1,330092,328027,330247,330507,330377,113
YBR046C,chrII,331511,330507,-1,331542,330248,331497,331795,331646,151
YBR048W,chrII,332831,333812,1,332813,334020,332819,332367,332593,305
YBR049C,chrII,336818,334386,-1,336941,334141,336833,337248,337041,268
YBR050C,chrII,338199,337183,-1,338376,337183,338410,338695,338553,138
YBR052C,chrII,339352,338720,-1,339416,338663,339352,339649,339501,150
YBR054W,chrII,343101,344135,1,342787,344360,342560,342248,342404,165
YBR055C,chrII,347301,344602,-1,347325,344509,347249,347476,347363,80
YBR057C,chrII,353293,352193,-1,353383,352089,353341,353780,353561,292
YBR058C,chrII,356017,353672,-1,356041,353516,355995,356260,356128,118
YBR058C-A,chrII,356566,356324,-1,356625,356153,356572,356862,356717,143
YBR059C,chrII,360187,356861,-1,360298,356762,360257,360678,360468,274
YBR060C,chrII,362514,360652,-1,362632,360609,362578,362897,362738,172
YBR061C,chrII,365719,364787,-1,365726,364634,365672,365929,365801,110
YBR065C,chrII,369678,368584,-1,369750,368276,369689,370021,369855,185
YBR066C,chrII,370699,370037,-1,370751,369948,370926,371423,371175,350
YBR067C,chrII,372735,372103,-1,372786,371984,373107,373461,373284,207
YBR068C,chrII,375690,373861,-1,375729,373642,375668,376378,376023,563
YBR069C,chrII,378433,376574,-1,378538,376429,378533,379115,378824,435
YBR070C,chrII,379934,379221,-1,379987,379178,379968,380262,380115,147
YBR072W,chrII,382030,382674,1,381956,382840,382054,381873,381964,34
YBR073W,chrII,383112,385988,1,383154,386050,383157,382888,383023,122
YBR076W,chrII,390227,391291,1,390227,391291,390154,389879,390017,128
YBR077C,chrII,392293,391805,-1,392352,391577,392281,392836,392559,408
YBR078W,chrII,393123,394742,1,392947,394894,392836,392281,392559,408
YBR079C,chrII,398277,395383,-1,398302,395294,398264,398555,398410,144
YBR080C,chrII,400890,398614,-1,400916,398464,400876,401195,401036,172
YBR081C,chrII,405251,401253,-1,405397,401105,405338,405594,405466,109
YBR082C,chrII,407169,406628,-1,407234,406461,407150,407601,407376,304
YBR083W,chrII,409169,410629,1,409122,410704,408927,408484,408706,296
YBR084W,chrII,411054,413981,1,411040,414073,411046,410713,410880,186
YBR084C-A,chrII,415261,414186,-1,415311,414069,415277,415923,415600,499
YBR085W,chrII,415983,416906,1,415919,417077,415923,415277,415600,499
YBR086C,chrII,423041,420201,-1,423344,420078,423242,423539,423391,150
YBR087W,chrII,423765,424829,1,423754,424889,423797,423579,423688,71
YBR088C,chrII,425766,424990,-1,425806,424923,425827,426121,425974,147
YBR089C-A,chrII,426873,426190,-1,426873,426015,426732,427183,426958,304
YBR091C,chrII,427484,427155,-1,427525,427061,427476,427753,427615,130
YBR092C,chrII,429101,427698,-1,429115,427647,429168,429603,429386,288
YBR093C,chrII,430951,429548,-1,430986,429492,431205,431394,431300,42
YBR094W,chrII,432036,434297,1,431970,434402,432018,431759,431889,112
YBR095C,chrII,435698,434406,-1,435738,434314,435690,435972,435831,135
YBR097W,chrII,436951,441315,1,436920,441394,436955,436694,436825,114
YBR098W,chrII,441515,443590,1,441517,443745,441548,441272,441410,129
YBR101C,chrII,444693,443821,-1,444765,443743,444696,445013,444855,170
YBR102C,chrII,447323,445062,-1,447354,444956,447332,447597,447465,118
YBR103W,chrII,447709,449316,1,447549,449364,447597,447332,447465,118
YBR104W,chrII,449667,450656,1,449579,450740,449590,449278,449434,165
YBR105C,chrII,451969,450881,-1,451995,450721,452060,452648,452354,441
YBR106W,chrII,452658,453224,1,452625,453364,452648,452090,452369,411
YBR107C,chrII,454530,453793,-1,454551,453793,454535,454814,454675,132
YBR108W,chrII,454822,457665,1,454807,457852,454814,454535,454675,132
YBR109C,chrII,458362,457919,-1,458401,457724,458357,458627,458492,123
YBR110W,chrII,458872,460221,1,458657,460318,458860,458627,458744,86
YBR111C,chrII,461873,461178,-1,461856,461107,461893,462164,462029,124
YBR111W-A,chrII,462139,462579,1,462138,462742,462164,461893,462029,124
YBR112C,chrII,465770,462870,-1,465964,462642,465908,466717,466313,662
YBR114W,chrII,467248,469620,1,467130,469679,467218,466861,467040,210
YBR115C,chrII,473926,469748,-1,474013,469611,473993,474347,474170,207
YBR117C,chrII,476437,474392,-1,476674,474235,476621,476866,476744,98
YBR118W,chrII,477671,479047,1,477649,479137,477695,477057,477376,491
YBR119W,chrII,479338,480323,1,479298,480467,479350,479035,479193,168
YBR120C,chrII,480923,480435,-1,481006,480375,480957,481251,481104,147
YBR121C,chrII,483367,481364,-1,483444,481261,483444,483770,483607,179
YBR122C,chrII,484503,483970,-1,484536,483774,484493,484786,484640,146
YBR123C,chrII,486691,484742,-1,486759,484677,486698,487010,486854,165
YBR125C,chrII,488380,487199,-1,488559,487061,488499,488824,488662,178
YBR126C,chrII,490392,488905,-1,490499,488774,490443,490890,490667,300
YBR127C,chrII,492822,491269,-1,492886,491103,492822,493115,492969,146
YBR128C,chrII,494115,493081,-1,494147,492798,494093,494357,494225,117
YBR129C,chrII,495339,494353,-1,495374,494219,495333,495621,495477,141
YBR130C,chrII,496869,495592,-1,496929,495479,496883,497177,497030,147
YBR131W,chrII,497163,499277,1,497119,499352,497177,496883,497030,147
YBR132C,chrII,501442,499652,-1,501553,499352,501562,501856,501709,147
YBR133C,chrII,504287,501804,-1,504400,501663,504384,504808,504596,277
YBR135W,chrII,504854,505306,1,504754,505510,504808,504384,504596,277
YBR136W,chrII,505668,512774,1,505617,512970,505688,505433,505561,108
YBR137W,chrII,513044,513583,1,512952,513680,512986,512712,512849,127
YBR139W,chrII,515664,517190,1,515659,517223,515690,515371,515531,172
YBR140C,chrII,526628,517350,-1,526628,517239,526881,527181,527031,153
YBR142W,chrII,528317,530638,1,528270,530645,528301,528025,528163,129
YBR143C,chrII,532182,530869,-1,532221,530735,532194,532527,532361,186
YBR145W,chrII,533762,534817,1,533721,534918,533682,533370,533526,165
YBR146W,chrII,535260,536096,1,535197,536318,535233,534960,535097,126
YBR147W,chrII,536575,537465,1,536575,537494,536471,536205,536338,119
YBR148W,chrII,537876,539705,1,537689,539787,537762,537468,537615,147
YBR149W,chrII,539987,541021,1,539918,541118,540004,539693,539849,164
YBR150C,chrII,544493,541209,-1,544524,541143,544463,544943,544703,333
YBR151W,chrII,545028,545978,1,544915,546108,544943,544463,544703,333
YBR152W,chrII,546376,547251,1,546322,547251,546376,546108,546242,121
YBR153W,chrII,547460,548194,1,547410,548241,547441,547179,547310,115
YBR154C,chrII,549009,548362,-1,549100,548266,549055,549344,549200,142
YBR155W,chrII,549771,550928,1,549726,551018,549786,549496,549641,143
YBR156C,chrII,553200,551104,-1,553237,550927,553197,553439,553318,95
YBR158W,chrII,556549,558198,1,556286,558348,556164,555578,555871,439
YBR159W,chrII,558685,559728,1,558660,559815,558699,558421,558560,131
YBR160W,chrII,560078,560974,1,559947,561068,560007,559743,559875,117
YBR161W,chrII,561634,562764,1,561407,563028,561371,560976,561174,248
YBR162C,chrII,564570,563203,-1,564808,562899,564691,565266,564979,428
YBR162W-A,chrII,565231,565428,1,565196,565526,565266,564691,564979,428
YBR163W,chrII,565723,567480,1,565639,567536,565686,565416,565551,123
YBR164C,chrII,568426,567875,-1,568545,567773,568504,568785,568645,134
YBR165W,chrII,568852,569685,1,568760,569731,568785,568504,568645,134
YBR166C,chrII,571200,569842,-1,571252,569753,571187,571463,571325,129
YBR167C,chrII,571890,571468,-1,571926,571400,571866,572088,571977,75
YBR168W,chrII,572371,573612,1,572244,573780,572288,572088,572188,53
YBR169C,chrII,575996,573915,-1,575996,573739,576081,576413,576247,185
YBR170C,chrII,578086,576344,-1,578159,576214,578090,578384,578237,147
YBR171W,chrII,578364,578984,1,578338,579065,578384,578090,578237,147
YBR172C,chrII,581372,579150,-1,581483,579012,581428,581693,581561,118
YBR173C,chrII,582172,581726,-1,582200,581582,582155,582432,582294,130
YBR175W,chrII,582408,583355,1,582395,583458,582432,582155,582294,130
YBR176W,chrII,583720,584658,1,583586,584803,583668,583389,583529,132
YBR177C,chrII,586162,584807,-1,586193,584684,586183,586587,586385,257
YBR179C,chrII,589114,586547,-1,589179,586491,589135,589463,589299,181
YBR180W,chrII,589741,591459,1,589741,591459,589690,589463,589577,80
YBR181C,chrII,592774,591712,-1,592827,591630,592765,593247,593006,335
YBR182C,chrII,594864,593506,-1,595027,593200,595024,595302,595163,131
YBR183W,chrII,596115,597065,1,595906,597128,596056,595541,595799,368
YBR185C,chrII,599959,599123,-1,599978,599004,599947,600206,600077,112
YBR186W,chrII,600553,602360,1,600553,602360,600568,600366,600467,55
YBR188C,chrII,604107,603685,-1,604182,603530,604145,604511,604328,219
YBR189W,chrII,604508,605508,1,604470,605578,604511,604145,604328,219
YBR191W,chrII,606270,607140,1,606220,607242,606267,605789,606028,331
YBR192W,chrII,607652,608785,1,607502,609055,607516,607269,607393,100
YBR193C,chrII,609753,609082,-1,609813,608847,609718,609973,609846,108
YBR194W,chrII,610038,610409,1,609969,610565,610000,609718,609859,135
YBR195C,chrII,611882,610614,-1,611875,610490,611872,612094,611983,75
YBR196C,chrII,613900,612236,-1,613935,612072,613918,614529,614224,464
YBR198C,chrII,618523,616127,-1,618597,616036,618537,618862,618700,178
YBR199W,chrII,618909,620303,1,618816,620431,618862,618537,618700,178
YBR200W,chrII,620872,622527,1,620817,622749,620843,620544,620694,152
YBR201W,chrII,623576,624211,1,623440,624335,623490,623200,623345,143
YBR202W,chrII,625772,628309,1,625742,628474,625736,625358,625547,231
YBR203W,chrII,629168,631942,1,628865,632172,628982,628390,628686,445
YBR204C,chrII,633381,632254,-1,633443,631993,633376,633643,633510,120
YBR205W,chrII,633622,634836,1,633575,635014,633643,633376,633510,120
YBR207W,chrII,635146,636543,1,635094,636682,635112,634847,634980,118
YBR208C,chrII,642210,636703,-1,642210,636572,642608,642919,642764,164
YBR210W,chrII,645550,645978,1,645512,646217,645370,645006,645188,217
YBR211C,chrII,647132,646158,-1,647245,646031,647186,647511,647349,178
YBR212W,chrII,647886,649904,1,647480,650110,647511,647186,647349,178
YBR213W,chrII,650368,651192,1,650216,651315,650318,650018,650168,153
YBR214W,chrII,651415,652998,1,651415,653191,651400,651065,651233,188
YBR215W,chrII,653356,655317,1,653315,655425,653359,653090,653225,122
YBR216C,chrII,657600,655576,-1,657633,655283,657592,657841,657717,102
YBR217W,chrII,657832,658392,1,657785,658720,657841,657592,657717,102
YBR218C,chrII,662249,658707,-1,662311,658591,662379,662893,662636,367
YBR221C,chrII,666253,665153,-1,666456,664909,666413,666702,666558,142
YBR222C,chrII,668351,666720,-1,668378,666606,668373,668667,668520,147
YBR223C,chrII,670297,668663,-1,670323,668424,670277,670523,670400,99
YBR227C,chrII,675134,673572,-1,675192,673514,675142,675377,675260,88
YBR228W,chrII,675313,676227,1,675313,676321,675377,675142,675260,88
YBR229C,chrII,679221,676357,-1,679228,676226,679207,679509,679358,155
YBR230C,chrII,680050,679549,-1,680088,679461,680038,680405,680222,220
YBR231C,chrII,683090,682179,-1,683147,682140,683080,683359,683220,132
YBR233W,chrII,683428,684669,1,683300,684839,683359,683080,683220,132
YBR233W-A,chrII,684977,685261,1,684958,685468,684993,684746,684870,100
YBR234C,chrII,686592,685438,-1,686638,685360,686577,686861,686719,137
YBR236C,chrII,691693,690383,-1,691731,690267,691692,691965,691829,126
YBR237W,chrII,691969,694518,1,691925,694611,691965,691692,691829,126
YBR238C,chrII,697302,695107,-1,697302,695093,697425,697909,697667,337
YBR240C,chrII,701842,700490,-1,701842,700261,702132,702497,702315,218
YBR243C,chrII,706793,705447,-1,706825,705389,706769,707025,706897,109
YBR244W,chrII,707528,708016,1,707492,708136,707360,707166,707263,47
YBR245C,chrII,711539,708150,-1,711385,708054,711352,711597,711475,98
YBR247C,chrII,714455,713004,-1,714476,712887,714453,714730,714592,130
YBR248C,chrII,716465,714807,-1,716553,714736,716511,716783,716647,125
YBR249C,chrII,717994,716882,-1,718084,716794,718118,718455,718287,190
YBR250W,chrII,719033,720604,1,719033,720684,718987,718757,718872,83
YBR251W,chrII,721390,722313,1,721322,722394,721384,721131,721258,106
YBR252W,chrII,722611,723054,1,722593,723127,722645,722386,722516,112
YBR253W,chrII,723270,723635,1,723209,723727,723262,723022,723142,93
YBR254C,chrII,724263,723736,-1,724271,723567,724228,724478,724353,103
YBR255W,chrII,724456,726540,1,724433,726607,724478,724228,724353,103
YBR256C,chrII,728102,727386,-1,728137,727322,728096,728375,728236,132
YBR257W,chrII,728885,729724,1,728854,729781,728898,728613,728756,138
YBR258C,chrII,730162,729734,-1,730195,729666,730128,730396,730262,121
YBR260C,chrII,734639,732639,-1,734676,732537,734610,734861,734736,104
YBR261C,chrII,735530,734832,-1,735555,734704,735494,735711,735603,70
YBR262C,chrII,736040,735720,-1,736075,735606,736018,736284,736151,119
YBR263W,chrII,736264,737736,1,736224,737806,736284,736018,736151,119
YBR264C,chrII,738369,737770,-1,738407,737733,738331,738593,738462,115
YBR265W,chrII,738582,739544,1,738546,739687,738593,738331,738462,115
YBR267W,chrII,739841,741022,1,739824,741142,739863,739613,739738,103
YBR268W,chrII,741299,741616,1,741285,741716,741337,741075,741206,115
YBR272C,chrII,747803,746361,-1,747830,746178,747770,747989,747880,72
YBR273C,chrII,749371,748061,-1,749402,747954,749339,749594,749467,108
YBR274W,chrII,749594,751177,1,749558,751338,749594,749339,749467,108
YBR275C,chrII,757106,751356,-1,757220,751216,757148,757436,757292,141
YBR276C,chrII,760043,757620,-1,760138,757544,760082,760292,760187,63
YBR278W,chrII,760294,760899,1,760276,760991,760292,760082,760187,63
YBR279W,chrII,761257,762594,1,761229,762712,761273,760847,761060,279
YBR280C,chrII,764697,762784,-1,764700,762608,764701,764941,764821,93
