# nucleosome dinucleotide model
# from to transition_prob
28 31 0.213624193340614
28 32 0.202954729983118
28 33 0.26959453473258
29 30 0.214008464650607
29 31 0.224697791406568
29 32 0.224868543222749
29 33 0.336425200720075
30 34 0.349624206696857
30 35 0.178827654910586
30 36 0.188280341250633
30 37 0.283267797141924
31 34 0.335715580837853
31 35 0.216715282541651
31 36 0.153931535590413
31 37 0.293637601030083
32 34 0.318224522848595
32 35 0.209197111424377
32 36 0.199756095092373
32 37 0.272822270634655
33 34 0.217127383856181
33 35 0.21923795716247
33 36 0.217447736624445
33 37 0.346186922356904
34 38 0.355633446557174
34 39 0.174430927358664
34 40 0.184071855494458
34 41 0.285863770589704
35 38 0.335982687490225
35 39 0.215015115113318
35 40 0.15120959367396
35 41 0.297792603722497
36 38 0.32016244700705
36 39 0.205396928336416
36 40 0.199708804207101
36 41 0.274731820449432
37 38 0.219186840396239
37 39 0.213922581773921
37 40 0.212389210320654
37 41 0.354501367509187
38 42 0.355895496762011
38 43 0.174562905152115
38 44 0.183456209134656
38 45 0.286085388951218
39 42 0.336026043153947
39 43 0.213853863813856
39 44 0.150266918953034
39 45 0.299853174079163
40 42 0.319538029805533
40 43 0.203701460042787
40 44 0.202252940204419
40 45 0.274507569947261
41 42 0.219330297176922
41 43 0.212171802058414
41 44 0.21145708141293
41 45 0.357040819351734
42 46 0.350986839181169
42 47 0.179152383743945
42 48 0.18718860938813
42 49 0.282672167686756
43 46 0.335101505750347
43 47 0.212981305694668
43 48 0.152179774350583
43 49 0.299737414204402
44 46 0.316768710374601
44 47 0.205163324570854
44 48 0.206367771857718
44 49 0.271700193196827
45 46 0.216962889870456
45 47 0.214714368717305
45 48 0.215400792825518
45 49 0.352921948586721
46 50 0.341711754218264
46 51 0.186633361075033
46 52 0.194071713556359
46 53 0.277583171150344
47 50 0.333424902612256
47 51 0.213067664494324
47 52 0.156174700310052
47 53 0.297332732583367
48 50 0.312918008377071
48 51 0.2094455079572
48 52 0.21045192708269
48 53 0.267184556583039
49 50 0.213546918069614
49 51 0.22006111438093
49 52 0.221954352771092
49 53 0.344437614778365
50 54 0.331968237829972
50 55 0.19366297071799
50 56 0.202126088847336
50 57 0.272242702604702
51 54 0.332053496014124
51 55 0.214479220557897
51 56 0.160477200600228
51 57 0.292990082827751
52 54 0.30835385132292
52 55 0.214262396381061
52 56 0.214437810618338
52 57 0.262945941677681
53 54 0.210891843050853
53 55 0.225435693785575
53 56 0.229726725242874
53 57 0.333945737920699
54 58 0.324012413568336
54 59 0.198220705836794
54 60 0.208839105265785
54 61 0.268927775329085
55 58 0.331203525545867
55 59 0.216862288657376
55 60 0.163390274679044
55 61 0.288543911117712
56 58 0.305184970946734
56 59 0.21823472174128
56 60 0.216642287841251
56 61 0.259938019470734
57 58 0.209886539590594
57 59 0.229141067426117
57 60 0.236023098128854
57 61 0.324949294854435
58 62 0.321131445769177
58 63 0.198801062710972
58 64 0.211848314302525
58 65 0.268219177217326
59 62 0.330751450460387
59 63 0.218589719210892
59 64 0.163903567666102
59 65 0.286755262662619
60 62 0.3043869301378
60 63 0.219517803911841
60 64 0.215832403798369
60 65 0.26026286215199
61 62 0.211346883769828
61 63 0.230204465748882
61 64 0.238558904351556
61 65 0.319889746129734
62 66 0.323930479643432
62 67 0.196123053610865
62 68 0.210124581779042
62 69 0.269821884966661
63 66 0.33220080376613
63 67 0.218555083722135
63 68 0.161959327894475
63 69 0.28728478461726
64 66 0.307673468000476
64 67 0.218018552969665
64 68 0.211425814279036
64 69 0.262882164750824
65 66 0.215520134361908
65 67 0.228247634253704
65 68 0.235706912421377
65 69 0.320525318963011
66 70 0.33110783727087
66 71 0.191142158945771
66 72 0.20560287890824
66 73 0.272147124875119
67 70 0.335668809633885
67 71 0.216780327961819
67 72 0.158489512030215
67 73 0.289061350374081
68 70 0.313877458955226
68 71 0.213594057379955
68 72 0.205570817978053
68 73 0.266957665686765
69 70 0.221373907860208
69 71 0.224503490683838
69 72 0.229686495945352
69 73 0.324436105510603
70 74 0.338546341315157
70 75 0.186268094221241
70 76 0.201020659033184
70 77 0.274164905430419
71 74 0.339440415044345
71 75 0.214965282139972
71 76 0.155008494627814
71 77 0.290585808187869
72 74 0.320607387123872
72 75 0.208481708563324
72 76 0.201524312326848
72 77 0.269386591985957
73 74 0.227428010776368
73 75 0.219926302053825
73 76 0.224041611410522
73 77 0.328604075759285
74 78 0.342570976234277
74 79 0.182717736930562
74 80 0.19993609054348
74 81 0.27477519629168
75 78 0.341268218405886
75 79 0.213879184848155
75 80 0.153738264162502
75 81 0.291114332583457
76 78 0.324650360336519
76 79 0.203555949235957
76 80 0.20266857837995
76 81 0.269125112047574
77 78 0.231425455604629
77 79 0.216087313914099
77 80 0.222285181111583
77 81 0.330202049369688
78 82 0.343119840124343
78 83 0.18092978404011
78 84 0.201819249503588
78 85 0.274131126331959
79 82 0.339988355807636
79 83 0.213200577590548
79 84 0.155729008137491
79 85 0.291082058464325
80 82 0.326000806684851
80 83 0.199946197381181
80 84 0.207969982533643
80 85 0.266083013400326
81 82 0.233132856719547
81 83 0.212860481093751
81 84 0.224781076649755
81 85 0.329225585536947
82 86 0.341273852749494
82 87 0.180129956300324
82 88 0.205634587316442
82 89 0.27296160363374
83 86 0.338717147814012
83 87 0.210093147520936
83 88 0.159441969678864
83 89 0.291747734986188
84 86 0.327296833902322
84 87 0.196423360990873
84 88 0.212979469091883
84 89 0.263300336014922
85 86 0.232836022210579
85 87 0.209758658683048
85 88 0.22935043615944
85 89 0.328054882946934
86 90 0.339408913992433
86 91 0.179469378824398
86 92 0.208497525477894
86 93 0.272624181705275
87 90 0.339630545714627
87 91 0.204526769984485
87 92 0.16275692596479
87 93 0.293085758336097
88 90 0.329662081447036
88 91 0.194185162208767
88 92 0.21388366222842
88 93 0.262269094115777
89 90 0.231990063948176
89 91 0.206743792012758
89 92 0.234362074964066
89 93 0.326904069075001
90 94 0.335446739891911
90 95 0.180353753127082
90 96 0.211346636693916
90 97 0.272852870287092
91 94 0.342674070190666
91 95 0.199146998257422
91 96 0.164839398564276
91 97 0.293339532987636
92 94 0.328926430768853
92 95 0.195608447730312
92 96 0.211900167468464
92 97 0.263564954032371
93 94 0.230755203185791
93 95 0.205834148904884
93 96 0.238711244280955
93 97 0.324699403628369
94 98 0.328495326947373
94 99 0.183488757662493
94 100 0.214704531286829
94 101 0.273311384103306
95 98 0.344397814186424
95 99 0.198237041760606
95 100 0.166079247700902
95 101 0.291285896352068
96 98 0.322491284192479
96 99 0.202658310894556
96 100 0.209939439842251
96 101 0.264910965070714
97 98 0.228966659968852
97 99 0.208219244208955
97 100 0.243023140044061
97 101 0.319790955778132
98 102 0.319798769787748
98 103 0.189042314272809
98 104 0.217179742648856
98 105 0.273979173290587
99 102 0.342794786898092
99 103 0.201852175940064
99 104 0.166953032060407
99 105 0.288400005101437
100 102 0.312810710795444
100 103 0.212230390618681
100 104 0.209007176625637
100 105 0.265951721960237
101 102 0.227033906487047
101 103 0.213058827296549
101 104 0.245995718934255
101 105 0.313911547282149
102 106 0.313106949589419
102 107 0.193179555140898
102 108 0.217410322417011
102 109 0.276303172852672
103 106 0.339135324771435
103 107 0.207169851503126
103 108 0.166082958219159
103 109 0.28761186550628
104 106 0.305714153856426
104 107 0.21893024373224
104 108 0.208116847198156
104 109 0.267238755213178
105 106 0.225995591778254
105 107 0.217559563123592
105 108 0.245269170356259
105 109 0.311175674741895
106 110 0.312421933576047
106 111 0.192946926042941
106 112 0.214546467425745
106 113 0.280084672955267
107 110 0.335512697743
107 111 0.211419661404708
107 112 0.163460218460052
107 113 0.289607422392239
108 110 0.304171803718527
108 111 0.219884552102482
108 112 0.206353134378047
108 113 0.269590509800945
109 110 0.226573858879524
109 111 0.219662838089085
109 112 0.239670275017414
109 113 0.314093028013976
110 114 0.318483097348455
110 115 0.186966964683598
110 116 0.21029888477053
110 117 0.284251053197418
111 114 0.333166845557782
111 115 0.212902070059055
111 116 0.159783312830364
111 117 0.2941477715528
112 114 0.307770717757352
112 115 0.216014392991657
112 116 0.204484654540786
112 117 0.271730234710204
113 114 0.229055335906763
113 115 0.217429585868606
113 116 0.231343410739644
113 117 0.322171667484987
114 118 0.328624710971009
114 119 0.178755874199699
114 120 0.205792338960703
114 121 0.28682707586859
115 118 0.333525140753957
115 119 0.212119483250891
115 120 0.155930824420252
115 121 0.2984245515749
116 118 0.31477008182867
116 119 0.209754568733209
116 120 0.20464558017061
116 121 0.270829769267511
117 118 0.233092146989917
117 119 0.211461257689544
117 120 0.224076960812197
117 121 0.331369634508342
118 122 0.337487261623779
118 123 0.17297300020822
118 124 0.204145976020626
118 125 0.285393762147375
119 122 0.334912030620862
119 123 0.210445710826806
119 124 0.154571592889424
119 125 0.300070665662909
120 122 0.320603718632131
120 123 0.204594718779012
120 124 0.208716104454955
120 125 0.266085458133902
121 122 0.236565999097417
121 123 0.205398557715315
121 124 0.221623997157225
121 125 0.336411446030043
122 126 0.339380466616062
122 127 0.173343208244082
122 128 0.207371395570108
122 129 0.279904929569748
123 126 0.337198633187815
123 127 0.20957680022531
123 128 0.157087267262199
123 129 0.296137299324676
124 126 0.321801867659248
124 127 0.203661273256635
124 128 0.216764380291317
124 129 0.257772478792801
125 126 0.23677863271862
125 127 0.203477425339264
125 128 0.224797422607293
125 129 0.334946519334824
126 130 0.333416414341604
126 131 0.179217105835939
126 132 0.214579062988651
126 133 0.272787416833805
127 130 0.337374558675038
127 131 0.210296768278248
127 132 0.164142734929103
127 133 0.288185938117611
128 130 0.318130916190287
128 131 0.207507041571743
128 132 0.22505097624142
128 133 0.249311065996551
129 130 0.233003004825933
129 131 0.207065632872492
129 132 0.232534923513522
129 133 0.327396438788054
130 134 0.323205089535677
130 135 0.187797485742627
130 136 0.22242198759659
130 137 0.266575437125106
131 134 0.335803296339198
131 135 0.211550830195179
131 136 0.171026545561748
131 137 0.281619327903875
132 134 0.311661605267616
132 135 0.213935779200611
132 136 0.230092503933574
132 137 0.2443101115982
133 134 0.227083906189972
133 135 0.213726473874812
133 136 0.242325549308574
133 137 0.316864070626642
134 138 0.313202209456149
134 139 0.195218415716875
134 140 0.227562526356804
134 141 0.264016848470172
135 138 0.331538430496412
135 139 0.213915820850489
135 140 0.174526773447039
135 141 0.28001897520606
136 138 0.304550642758761
136 139 0.220386388562975
136 140 0.22995906238841
136 141 0.245103906289854
137 138 0.222112376219635
137 139 0.220551769418622
137 140 0.249668143949219
137 141 0.307667710412524
138 142 0.307970345138482
138 143 0.19972676582149
138 144 0.227054170905115
138 145 0.265248718134913
139 142 0.3262549571174
139 143 0.216385759213964
139 144 0.172671365891064
139 145 0.284687917777571
140 142 0.298315206849971
140 143 0.22421507872322
140 144 0.226234273608427
140 145 0.251235440818382
141 142 0.218895574466322
141 143 0.225498244130378
141 144 0.251118905373427
141 145 0.304487276029873
142 146 0.308657874462084
142 147 0.199341676870896
142 148 0.220791543853888
142 149 0.271208904813132
143 146 0.321162276648032
143 147 0.21863700250293
143 148 0.167107225159279
143 149 0.293093495689759
144 146 0.295380567580264
144 147 0.224579170226786
144 148 0.219288491066333
144 149 0.260751771126616
145 146 0.218399325968163
145 147 0.227828318937314
145 148 0.244901686848042
145 149 0.308870668246481
146 150 0.315381398255499
146 151 0.194272330464111
146 152 0.211193289800045
146 153 0.279152981480345
147 150 0.317981672444289
147 151 0.219795527642924
147 152 0.159960044741633
147 153 0.302262755171155
148 150 0.295836208282125
148 151 0.221416731471395
148 152 0.212580830030863
148 153 0.270166230215617
149 150 0.219579559408538
149 151 0.226876796203811
149 152 0.234806550535921
149 153 0.31873709385173
150 154 0.325846805230062
150 155 0.185655729337195
150 156 0.202977670667873
150 157 0.285519794764871
151 154 0.31768789714956
151 155 0.218346490104009
151 156 0.154784649808241
151 157 0.309180962938189
152 154 0.299297931648673
152 155 0.215580526623084
152 156 0.20763682052348
152 157 0.277484721204762
153 154 0.223502335194597
153 155 0.222757782123786
153 156 0.225384346904494
153 157 0.328355535777123
154 158 0.335362889846574
154 159 0.178065509165384
154 160 0.197749086566168
154 161 0.288822514421874
155 158 0.320404154318017
155 159 0.21439797672601
155 160 0.152242025476102
155 161 0.312955843479871
156 158 0.305330374918112
156 159 0.208285742209115
156 160 0.206907180392638
156 161 0.279476702480135
157 158 0.229698307739662
157 159 0.216141445870279
157 160 0.21917408354662
157 161 0.334986162843439
158 162 0.340918761236994
158 163 0.174205312771693
158 164 0.196410201356708
158 165 0.288465724634606
159 162 0.325108325299989
159 163 0.208766729245816
159 164 0.152452382846631
159 165 0.313672562607563
160 162 0.312015328888469
160 163 0.201672514376176
160 164 0.20876082520825
160 165 0.277551331527106
161 162 0.237447808106327
161 163 0.208915362598542
161 164 0.217532587118797
161 165 0.336104242176335
162 166 0.339953458579324
162 167 0.175624542572212
162 168 0.197585969628076
162 169 0.286836029220388
163 166 0.329913842382763
163 167 0.204398931661159
163 168 0.153721319974012
163 169 0.311965905982066
164 166 0.316218888910472
164 167 0.19816858936329
164 168 0.211893565540838
164 169 0.273718956185399
165 166 0.24480212243451
165 167 0.202873062749616
165 168 0.219960375885896
165 169 0.332364438929977
166 170 0.331320773036669
166 171 0.182392193062218
166 172 0.200298047437261
166 173 0.285988986463851
167 170 0.332467656118532
167 171 0.204006735476044
167 172 0.155100060192276
167 173 0.308425548213148
168 170 0.314183499087731
168 171 0.199115678936334
168 172 0.21435428738179
168 173 0.272346534594145
169 170 0.249112114286585
169 171 0.200403130012142
169 172 0.226343845589269
169 173 0.324140910112004
170 174 0.315586508270467
170 175 0.192799946818615
170 176 0.203314811408053
170 177 0.288298733502864
171 174 0.331965316914748
171 175 0.208443680109852
171 176 0.155694323561796
171 177 0.303896679413604
172 174 0.304075726073938
172 175 0.204923295455529
172 176 0.216018396768936
172 177 0.274982581701597
173 174 0.250175938903206
173 175 0.201595631639084
173 176 0.235056947829334
173 177 0.313171481628376
174 178 0.295316654064194
174 179 0.204181034762196
174 180 0.20618745053063
174 181 0.29431486064298
175 178 0.327753267292315
175 179 0.216282273018034
175 180 0.156140722714977
175 181 0.299823736974675
176 178 0.287620686563393
176 179 0.214015977427011
176 180 0.217096566911334
176 181 0.281266769098262
177 178 0.247687839478727
177 179 0.205460284637969
177 180 0.245194202101042
177 181 0.301657673782261
178 182 0.277029422559207
178 183 0.21296026903365
178 184 0.209109872895591
178 185 0.300900435511551
179 182 0.322373395320554
179 183 0.223519482511179
179 184 0.15744024119833
179 185 0.296666880969937
180 182 0.269273758103402
180 183 0.224074904786219
180 184 0.217982756416251
180 185 0.288668580694127
181 182 0.242913525046338
181 183 0.210190478902788
181 184 0.254906623568026
181 185 0.291989372482847
182 186 0.266608558127216
182 187 0.216904236787417
182 188 0.211184344566236
182 189 0.305302860519131
183 186 0.317625107923359
183 187 0.226933309904853
183 188 0.160009845129778
183 189 0.29543173704201
184 186 0.25540671868751
184 187 0.232331599632755
184 188 0.217787250405911
184 189 0.294474431273823
185 186 0.236683361255244
185 187 0.21485180575276
185 188 0.261705302725823
185 189 0.286759530266173
186 190 0.267780680360025
186 191 0.215327998360895
186 192 0.211568300649732
186 193 0.305323020629348
187 190 0.315926700131493
187 191 0.226535500452013
187 192 0.161942788306699
187 193 0.295595011109794
188 190 0.249316562893113
188 191 0.236885405890892
188 192 0.216729893526927
188 193 0.297068137689068
189 190 0.230811324916898
189 191 0.218783416615467
189 192 0.263536002452852
189 193 0.286869256014783
190 194 0.279961932867041
190 195 0.209151196416474
190 196 0.209992396665156
190 197 0.300894474051329
191 194 0.316619090856567
191 195 0.225170664616139
191 196 0.162428058908514
191 197 0.295782185618781
192 194 0.25284728050508
192 195 0.237618463686723
192 196 0.215115946270394
192 197 0.294418309537803
193 194 0.227360246082122
193 195 0.220929231523146
193 196 0.259204783521618
193 197 0.292505738873114
194 198 0.299783106445793
194 199 0.19919737575857
194 200 0.206839691651632
194 201 0.294179826144005
195 198 0.321333108212408
195 199 0.223906677830399
195 200 0.160524542245814
195 201 0.294235671711379
196 198 0.263659145504056
196 199 0.234093358670585
196 200 0.214455252611175
196 201 0.287792243214183
197 198 0.228729903358226
197 199 0.219857964767257
197 200 0.250222307068336
197 201 0.301189824806181
198 202 0.321024260059801
198 203 0.187928669932337
198 204 0.203637537033174
198 205 0.287409532974688
199 202 0.328817924888067
199 203 0.221177963443177
199 204 0.158481827626342
199 205 0.291522284042413
200 202 0.279774388332673
200 203 0.226857307751628
200 204 0.214792788519743
200 205 0.278575515395956
201 202 0.23334412038588
201 203 0.215531955367472
201 204 0.239317109558836
201 205 0.311806814687812
202 206 0.336615691465946
202 207 0.17907792396576
202 208 0.201926959496277
202 209 0.282379425072017
203 206 0.33648466589335
203 207 0.216396612316119
203 208 0.158531675003093
203 209 0.288587046787437
204 206 0.29400985789252
204 207 0.218279994696307
204 208 0.216108393128297
204 209 0.271601754282876
205 206 0.237445226454526
205 207 0.210306579308662
205 208 0.231434914345425
205 209 0.320813279891387
206 210 0.341723543589497
206 211 0.176559989970133
206 212 0.203269549159823
206 213 0.278446917280547
207 210 0.340604759058099
207 211 0.209664096420966
207 212 0.162584103541785
207 213 0.28714704097915
208 210 0.304036543180615
208 211 0.211571253670647
208 212 0.217029679774504
208 213 0.267362523374233
209 210 0.237302236979007
209 211 0.207147560093947
209 212 0.231261762500765
209 213 0.324288440426281
210 214 0.337328551720063
210 215 0.179229365328318
210 216 0.208226955363839
210 217 0.27521512758778
211 214 0.34076020142983
211 215 0.202631825534168
211 216 0.170667702195773
211 217 0.285940270840228
212 214 0.307847326584132
212 215 0.20914973490541
212 216 0.217452322476674
212 217 0.265550616033784
213 214 0.234255580737952
213 215 0.206324898398016
213 216 0.240095345350665
213 217 0.319324175513366
214 218 0.327266529133016
214 219 0.185194608415084
214 220 0.215264890598619
214 221 0.27227397185328
215 218 0.340710685168443
215 219 0.196461459208773
215 220 0.178428626534071
215 221 0.284399229088713
216 218 0.309305043698358
216 219 0.2093790880001
216 220 0.216247340993825
216 221 0.265068527307717
217 218 0.231398440209151
217 219 0.206325151991701
217 220 0.253508509495414
217 221 0.308767898303735
218 222 0.316586445882185
218 223 0.191026292603919
218 224 0.220794915579128
218 225 0.271592345934767
219 222 0.340583081657752
219 223 0.193105389806615
219 224 0.18184098801171
219 225 0.284470540523923
220 222 0.309360143041875
220 223 0.211655039192835
220 224 0.212913201040885
220 225 0.266071616724405
221 222 0.230358354490657
221 223 0.207336471772552
221 224 0.263016874045453
221 225 0.299288299691337
222 226 0.307378614476142
222 227 0.197327399065564
222 228 0.222302895799587
222 229 0.272991090658707
223 226 0.338709232825187
223 227 0.194319200829039
223 228 0.178836135758574
223 229 0.288135430587201
224 226 0.307144479110854
224 227 0.215820472119624
224 228 0.207780682345482
224 229 0.26925436642404
225 226 0.229926821723821
225 227 0.211361812849157
225 228 0.263029030781038
225 229 0.295682334645984
226 230 0.298468954641768
226 231 0.20309911627849
226 232 0.223437156782153
226 233 0.27499477229759
227 230 0.332555214351246
227 231 0.200091351088754
227 232 0.172961137168974
227 233 0.294392297391026
228 230 0.300552495080026
228 231 0.223301173093455
228 232 0.204048737722156
228 233 0.272097594104363
229 230 0.228810491140202
229 231 0.218719204230799
229 232 0.255923755936371
229 233 0.296546548692628
230 234 0.289976002230486
230 235 0.207998311245436
230 236 0.227980154933697
230 237 0.274045531590381
231 234 0.324226697272496
231 235 0.208474011094392
231 236 0.167570889670665
231 237 0.299728401962446
232 234 0.291001953116219
232 235 0.231924201621196
232 236 0.203703245795277
232 237 0.273370599467309
233 234 0.227286536914649
233 235 0.227024315921293
233 236 0.247999288274882
233 237 0.297689858889175
234 238 0.283521366776853
234 239 0.210418109082426
234 240 0.235241552387289
234 241 0.270818971753432
235 238 0.316746192083681
235 239 0.215481161171885
235 240 0.164262344759042
235 241 0.303510301985392
236 238 0.281891942468906
236 239 0.238498869318616
236 240 0.207929003628925
236 241 0.271680184583553
237 238 0.227089932927287
237 239 0.231799556502393
237 240 0.243582240228115
237 241 0.297528270342205
238 242 0.281846236832547
238 243 0.209710275522185
238 244 0.240342038978226
238 245 0.268101448667042
239 242 0.312733699796098
239 243 0.218706089624957
239 244 0.162018352757278
239 245 0.306541857821667
240 242 0.277193804213576
240 243 0.240093926363815
240 244 0.214181307727803
240 245 0.268530961694805
241 242 0.22813379628065
241 243 0.231097991331738
241 244 0.242323312767149
241 245 0.298444899620464
242 246 0.284629293826628
242 247 0.207827343157338
242 248 0.240364363029524
242 249 0.267178999986511
243 246 0.312708829823168
243 247 0.218014202845123
243 248 0.161340209883232
243 249 0.307936757448478
244 246 0.277604356020242
244 247 0.237656919367401
244 248 0.220880976099299
244 249 0.263857748513057
245 246 0.228565071484393
245 247 0.226717418287133
245 248 0.243284880246403
245 249 0.301432629982071
246 250 0.289201114982257
246 251 0.206276581596598
246 252 0.237696993574785
246 253 0.26682530984636
247 250 0.315460417735291
247 251 0.215497240939458
247 252 0.162802857455422
247 253 0.306239483869829
248 250 0.281569257336768
248 251 0.234094151417501
248 252 0.226222100264014
248 253 0.258114490981717
249 250 0.226992796764074
249 251 0.222121151997818
249 252 0.246576740054441
249 253 0.304309311183667
250 254 0.291732005620399
250 255 0.206671290230913
250 256 0.235238136837355
250 257 0.266358567311333
251 254 0.319010022907493
251 255 0.213511041693173
251 256 0.166124401179707
251 257 0.301354534219627
252 254 0.286185993298908
252 255 0.231650504861204
252 256 0.229574299563644
252 257 0.252589202276244
253 254 0.223708790884228
253 255 0.220948471745555
253 256 0.251712308537471
253 257 0.303630428832746
254 258 0.291250343463486
254 259 0.208410991437657
254 260 0.23404548971832
254 261 0.266293175380537
255 258 0.321285034713294
255 259 0.213993957315505
255 260 0.169963036770378
255 261 0.294757971200823
256 258 0.288301214163181
256 259 0.231599302041681
256 260 0.230780393921263
256 261 0.249319089873875
257 258 0.219986249430167
257 259 0.223044085838156
257 260 0.257200779696086
257 261 0.299768885035592
258 262 0.28852605613256
258 263 0.210704239939475
258 264 0.233800031071081
258 265 0.266969672856885
259 262 0.322019246830491
259 263 0.217333336530216
259 264 0.171752826643457
259 265 0.288894589995836
260 262 0.287689516177759
260 263 0.233490313918825
260 264 0.228330838520489
260 265 0.250489331382928
261 262 0.216617597117506
261 263 0.227850977714804
261 264 0.261303999729225
261 265 0.294227425438465
262 266 0.287764688140037
262 267 0.211793673051197
262 268 0.232505631878629
262 269 0.267936006930137
263 266 0.321851812105835
263 267 0.221401108031408
263 268 0.171369347111789
263 269 0.285377732750968
264 266 0.285964413552133
264 267 0.235914978064788
264 268 0.223925849394012
264 269 0.254194758989067
265 266 0.21477628369774
265 267 0.23282695996963
265 268 0.262279860898623
265 269 0.290116895434006
266 270 0.290981831073477
266 271 0.209630048066577
266 272 0.23061209052806
266 273 0.268776030331887
267 270 0.321023670710749
267 271 0.225356678377106
267 272 0.168995208857064
267 273 0.28462444205508
268 270 0.284974092459066
268 271 0.237422414517858
268 272 0.218333833462911
268 273 0.259269659560165
269 270 0.21541660373841
269 271 0.235829936056401
269 272 0.260086582490095
269 273 0.288666877715094
270 274 0.296890660172899
270 275 0.205279910414447
270 276 0.229468009603531
270 277 0.268361419809123
271 274 0.320675182366223
271 275 0.227576648167413
271 276 0.165917632433139
271 277 0.285830537033225
272 274 0.285361344084929
272 275 0.237496353915764
272 276 0.21425943163791
272 277 0.262882870361397
273 274 0.218544818532023
273 275 0.235729887154239
273 276 0.255739590767502
273 277 0.289985703546236
274 278 0.303489761578486
274 279 0.200387716335184
274 280 0.230775396181194
274 281 0.265347125905136
275 278 0.320616552894732
275 279 0.228386611608301
275 280 0.163845529616594
275 281 0.287151305880374
276 278 0.286865848424616
276 279 0.236474030525432
276 280 0.212841397069578
276 281 0.263818723980374
277 278 0.223567288467198
277 279 0.232604047071424
277 280 0.252504821701255
277 281 0.291323842760122
278 282 0.306636464463029
278 283 0.198329599070967
278 284 0.234323306420462
278 285 0.260710630045542
279 282 0.320202624576261
279 283 0.227058596625366
279 284 0.162709576137165
279 285 0.290029202661209
280 282 0.288538023913602
280 283 0.235201208536899
280 284 0.214680026999229
280 285 0.26158074055027
281 282 0.229543340040973
281 283 0.228309649505615
281 284 0.252025929472804
281 285 0.290121080980608
282 286 0.305398116042192
282 287 0.198987013332231
282 288 0.239079572013933
282 289 0.256535298611644
283 286 0.31827972375089
283 287 0.224312321297874
283 288 0.163474140267081
283 289 0.293933814684155
284 286 0.289522139328452
284 287 0.234392471918661
284 288 0.2185061923117
284 289 0.257579196441187
285 286 0.235044246798783
285 287 0.223966992728679
285 288 0.254104640688872
285 289 0.286884119783666
286 290 0.301522413514449
286 291 0.201310591143093
286 292 0.242141394927692
286 293 0.255025600414767
287 290 0.316798577877898
287 291 0.219378393060131
287 292 0.16515392195409
287 293 0.298669107107881
288 290 0.291530536934651
288 291 0.233086468638957
288 292 0.220374896789414
288 293 0.255008097636978
289 290 0.238654817452183
289 291 0.221082339701461
289 292 0.256672095145972
289 293 0.283590747700384
290 294 0.298789868064175
290 295 0.203387364194977
290 296 0.240212323204462
290 297 0.257610444536386
291 294 0.318074950987058
291 295 0.212688365119822
291 296 0.166457081892036
291 297 0.302779602001085
292 294 0.294319953565822
292 295 0.23133034480371
292 296 0.218015918239918
292 297 0.25633378339055
293 294 0.239353185607134
293 295 0.220019411626035
293 296 0.256819538039272
293 297 0.28380786472756
294 298 0.297794584025771
294 299 0.204965247115028
294 300 0.232281930605902
294 301 0.2649582382533
295 298 0.322259910524586
295 299 0.207352580102119
295 300 0.166169805826924
295 301 0.304217703546371
296 298 0.296413080649446
296 299 0.229881910716705
296 300 0.210691737316971
296 301 0.263013271316879
297 298 0.23682297821775
297 299 0.221586005204531
297 300 0.252575250016873
297 301 0.289015766560847
298 302 0.295964308792366
